channel_a,channel_b,d_auroc,d_auroc_lo,d_auroc_hi,auroc_sig,d_tpr@0.01,d_tpr@0.01_lo,d_tpr@0.01_hi,d_tpr@0.01_sig,d_tpr@0.003,d_tpr@0.003_lo,d_tpr@0.003_hi,d_tpr@0.003_sig,d_tpr@0.0003,d_tpr@0.0003_lo,d_tpr@0.0003_hi,d_tpr@0.0003_sig,seed
logit_ev,emitted,0.006468253968253901,-0.01619146825396836,0.02825396825396831,False,0.11,0.04,0.18,True,0.08,0.030000000000000002,0.16,True,0.08,0.030000000000000002,0.16,True,0
logit_logodds_80,emitted,0.012261904761904585,-0.013731150793650861,0.03876984126984129,False,0.11,0.04,0.18,True,0.08,0.030000000000000002,0.16,True,0.08,0.030000000000000002,0.16,True,0
probe,emitted,0.3478968253968253,0.27507936507936503,0.42381249999999987,True,0.88,0.55,0.98,True,0.62,0.53,0.96,True,0.62,0.53,0.96,True,0
probe,logit_ev,0.3414285714285714,0.26880952380952383,0.4181765873015873,True,0.77,0.43999999999999995,0.9,True,0.54,0.42000000000000004,0.88,True,0.54,0.42000000000000004,0.88,True,0
head,probe,0.004444444444444473,-0.0053988095238096155,0.01769841269841277,False,0.020000000000000018,-0.050000000000000044,0.33000000000000007,False,0.24,-0.04999999999999993,0.3400000000000001,False,0.24,-0.04999999999999993,0.3400000000000001,False,0
ensemble,emitted,0.1744444444444444,0.14531646825396824,0.2034126984126985,True,0.33,0.24,0.45,True,0.32,0.23,0.43,True,0.32,0.23,0.43,True,0
ensemble,logit_ev,0.1679761904761905,0.1393253968253969,0.1993650793650793,True,0.22000000000000003,0.14,0.33999999999999997,True,0.24000000000000002,0.15,0.32999999999999996,True,0.24000000000000002,0.15,0.32999999999999996,True,0
ensemble,probe,-0.1734523809523809,-0.23115178571428566,-0.12202083333333338,True,-0.55,-0.69,-0.19000000000000006,True,-0.3,-0.6599999999999999,-0.18000000000000005,True,-0.3,-0.6599999999999999,-0.18000000000000005,True,0
emitted,length_baseline,0.13662698412698415,0.022735119047619167,0.24587400793650796,True,-0.01,-0.05,0.03,False,0.01,-0.04,0.03,False,0.01,-0.04,0.03,False,0
logit_ev,length_baseline,0.14309523809523805,0.028886904761904853,0.25230555555555556,True,0.09999999999999999,0.019999999999999997,0.18,True,0.09,0.020000000000000004,0.17,True,0.09,0.020000000000000004,0.17,True,0
probe,length_baseline,0.48452380952380947,0.4057936507936508,0.5615079365079365,True,0.87,0.54,0.98,True,0.63,0.53,0.97,True,0.63,0.53,0.97,True,0
logit_ev,emitted,0.006468253968253901,-0.01591269841269838,0.029325396825396702,False,0.11,0.04,0.18,True,0.08,0.030000000000000002,0.16,True,0.08,0.030000000000000002,0.16,True,1
logit_logodds_80,emitted,0.012261904761904585,-0.013968253968253967,0.039206349206349134,False,0.11,0.04,0.18,True,0.08,0.039750000000002214,0.16,True,0.08,0.039750000000002214,0.16,True,1
probe,emitted,0.3478968253968253,0.2742440476190476,0.4223035714285713,True,0.88,0.5597500000000022,0.98,True,0.62,0.53,0.97,True,0.62,0.53,0.97,True,1
probe,logit_ev,0.3414285714285714,0.26722222222222225,0.4165892857142856,True,0.77,0.43999999999999995,0.9,True,0.54,0.42999999999999994,0.8899999999999999,True,0.54,0.42999999999999994,0.8899999999999999,True,1
head,probe,0.005555555555555536,-0.0033333333333334103,0.01825396825396808,False,0.04999999999999993,-0.020000000000000018,0.38,False,0.26,-0.029999999999999916,0.3899999999999999,False,0.26,-0.029999999999999916,0.3899999999999999,False,1
ensemble,emitted,0.1744444444444444,0.14511805555555543,0.20464384920634918,True,0.33,0.24,0.45,True,0.32,0.23,0.43,True,0.32,0.23,0.43,True,1
ensemble,logit_ev,0.1679761904761905,0.1382539682539683,0.1984920634920634,True,0.22000000000000003,0.14,0.33999999999999997,True,0.24000000000000002,0.15,0.32999999999999996,True,0.24000000000000002,0.15,0.32999999999999996,True,1
ensemble,probe,-0.1734523809523809,-0.230079365079365,-0.12043650793650784,True,-0.55,-0.69,-0.19999999999999996,True,-0.3,-0.6599999999999999,-0.18000000000000005,True,-0.3,-0.6599999999999999,-0.18000000000000005,True,1
emitted,length_baseline,0.13662698412698415,0.02380654761904756,0.24976884920634915,True,-0.01,-0.05,0.03,False,0.01,-0.04,0.03,False,0.01,-0.04,0.03,False,1
logit_ev,length_baseline,0.14309523809523805,0.031426587301587254,0.25476587301587295,True,0.09999999999999999,0.02,0.18,True,0.09,0.020000000000000004,0.17,True,0.09,0.020000000000000004,0.17,True,1
probe,length_baseline,0.48452380952380947,0.40642658730158726,0.5644444444444444,True,0.87,0.54,0.98,True,0.63,0.53,0.97,True,0.63,0.53,0.97,True,1
logit_ev,emitted,0.006468253968253901,-0.016469246031746074,0.02881051587301578,False,0.11,0.04,0.18,True,0.08,0.030000000000000002,0.16,True,0.08,0.030000000000000002,0.16,True,2
logit_logodds_80,emitted,0.012261904761904585,-0.013968253968253963,0.03865178571428565,False,0.11,0.04,0.18,True,0.08,0.030000000000000002,0.16,True,0.08,0.030000000000000002,0.16,True,2
probe,emitted,0.3478968253968253,0.27380853174603187,0.4231755952380952,True,0.88,0.5599999999999999,0.98,True,0.62,0.53,0.96,True,0.62,0.53,0.96,True,2
probe,logit_ev,0.3414285714285714,0.2673789682539683,0.41635119047619035,True,0.77,0.43000000000000005,0.9,True,0.54,0.42000000000000004,0.8899999999999999,True,0.54,0.42000000000000004,0.8899999999999999,True,2
head,probe,0.0037301587301588057,-0.006666666666666601,0.01650793650793647,False,0.04999999999999993,-0.09000000000000008,0.37,False,0.19999999999999996,-0.09999999999999998,0.37,False,0.19999999999999996,-0.09999999999999998,0.37,False,2
ensemble,emitted,0.1744444444444444,0.14591071428571428,0.20436607142857136,True,0.33,0.24,0.45,True,0.32,0.23,0.42000000000000004,True,0.32,0.23,0.42000000000000004,True,2
ensemble,logit_ev,0.1679761904761905,0.1380942460317459,0.19912698412698415,True,0.22000000000000003,0.14,0.33999999999999997,True,0.24000000000000002,0.15,0.33,True,0.24000000000000002,0.15,0.33,True,2
ensemble,probe,-0.1734523809523809,-0.23031746031746025,-0.12007837301587296,True,-0.55,-0.69,-0.19000000000000006,True,-0.3,-0.6599999999999999,-0.18000000000000005,True,-0.3,-0.6599999999999999,-0.18000000000000005,True,2
emitted,length_baseline,0.13662698412698415,0.023491071428571507,0.2494047619047619,True,-0.01,-0.05,0.03,False,0.01,-0.04,0.03,False,0.01,-0.04,0.03,False,2
logit_ev,length_baseline,0.14309523809523805,0.02841269841269844,0.2561904761904761,True,0.09999999999999999,0.019999999999999997,0.18,True,0.09,0.020000000000000004,0.17,True,0.09,0.020000000000000004,0.17,True,2
probe,length_baseline,0.48452380952380947,0.40761706349206345,0.5624603174603173,True,0.87,0.54,0.98,True,0.63,0.53,0.97,True,0.63,0.53,0.97,True,2
